second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
60.0,99,49,9,0.043062203,0.043062203,0.006000519,0.006000519,0.006000518798828125,684,0.042007003,0.042007003,0,0,9,0,1
60.0,54,105,38,0.18181819,0.18181819,0.08300781,0.08300781,0.0830078125,2888,0.17736289,0.17736289,0,0,38,0,1
60.0,81,106,34,0.16267942,0.16267942,0.15699768,0.15699768,0.1569976806640625,2584,0.15869312,0.15869312,0,0,34,0,1
60.0,69,61,38,0.18181819,0.18181819,0.26799393,0.26799393,0.2679939270019531,2888,0.17736289,0.17736289,0,0,38,0,1
60.0,98,112,38,0.18181819,0.18181819,0.1760025,0.1760025,0.17600250244140625,2888,0.17736289,0.17736289,0,0,38,0,1
60.0,58,85,31,0.14832535,0.14832535,0.25299835,0.25299835,0.25299835205078125,2356,0.14469078,0.14469078,0,0,31,0,1
60.0,60,117,19,0.09090909,0.09090909,0.032001495,0.032001495,0.032001495361328125,1843,0.11318553,0.11318553,19,0,0,0,1
60.0,101,98,2,0.009569378,0.009569378,0.024997711,0.024997711,0.024997711181640625,152,0.009334889,0.009334889,0,0,2,0,1
61.0,58,85,7,0.038251366,0.22950819,0.004041804,0.03229594,0.00400543212890625,532,0.03507384,0.21044303,0,0,7,0,1
61.0,60,117,10,0.05464481,0.32786885,0.061558597,0.34914255,0.061004638671875,970,0.06395042,0.38370255,10,0,0,0,1
61.0,101,98,36,0.19672132,0.21311475,0.35115576,0.42683756,0.3479957580566406,2736,0.18037975,0.1954114,0,0,36,0,1
61.0,61,117,29,0.16393442,0.32786885,0.13421099,0.34914255,0.1320037841796875,2813,0.19046678,0.38370255,29,0,0,0,1
61.0,62,85,35,0.19125684,0.22950819,0.028254133,0.03229594,0.0279998779296875,2660,0.1753692,0.21044303,0,0,35,0,1
61.0,48,117,21,0.114754096,0.32786885,0.15438151,0.34914255,0.15299224853515625,2037,0.13429588,0.38370255,21,0,0,0,1
61.0,71,75,19,0.10382514,0.2021858,0.01614027,0.15943184,0.015995025634765625,1444,0.09520042,0.1853903,0,0,19,0,1
61.0,81,75,18,0.09836066,0.2021858,0.14329156,0.15943184,0.14200210571289062,1368,0.090189874,0.1853903,0,0,18,0,1
61.0,79,65,4,0.021857923,0.021857923,0.03128356,0.03128356,0.031002044677734375,304,0.020042194,0.020042194,0,0,4,0,1
61.0,103,98,3,0.016393442,0.21311475,0.07568181,0.42683756,0.07500076293945312,228,0.015031646,0.1954114,0,0,3,0,1
61.0,61,51,1,0.16393442,0.0054644807,0.13421099,0.0010085263,0.00099945068359375,76,0.19046678,0.0050105485,0,0,1,0,1
62.0,48,117,8,0.037914693,0.13744076,0.0040545664,0.10040081,0.003997802734375,776,0.046620607,0.1689997,8,0,0,0,1
62.0,62,85,3,0.014218009,0.014218009,0.003040925,0.003040925,0.00299835205078125,228,0.013697807,0.013697807,0,0,3,0,1
62.0,61,51,37,0.17535545,0.17535545,0.056787144,0.056787144,0.05599212646484375,2812,0.16893962,0.16893962,0,0,37,0,1
62.0,71,75,19,0.0900474,0.18483412,0.043625277,0.13491492,0.0430145263671875,1444,0.08675278,0.1780715,0,0,19,0,1
62.0,81,75,20,0.09478673,0.18483412,0.09128965,0.13491492,0.0900115966796875,1520,0.09131871,0.1780715,0,0,20,0,1
62.0,103,98,28,0.13270143,0.13270143,0.0669313,0.0669313,0.0659942626953125,2128,0.1278462,0.1278462,0,0,28,0,1
62.0,52,49,38,0.1800948,0.1800948,0.25354582,0.25354582,0.24999618530273438,2888,0.17350556,0.17350556,0,0,38,0,1
62.0,65,117,21,0.09952607,0.13744076,0.096346244,0.10040081,0.09499740600585938,2037,0.122379094,0.1689997,21,0,0,0,1
62.0,109,99,24,0.11374407,0.11374407,0.3488823,0.3488823,0.3439979553222656,1824,0.109582454,0.109582454,0,0,24,0,1
62.0,54,105,13,0.061611373,0.061611373,0.0354968,0.0354968,0.034999847412109375,988,0.059357163,0.059357163,0,0,13,0,1
63.0,54,105,26,0.1420765,0.1420765,0.2799262,0.2799262,0.2970008850097656,1976,0.13295653,0.13295653,0,0,26,0,1
63.0,109,99,15,0.08196721,0.08196721,0.056548283,0.056548283,0.05999755859375,1140,0.076705694,0.076705694,0,0,15,0,1
