second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
60.0,101,103,18,0.47368422,0.31578946,0.70180583,0.26706755,0.26599884033203125,1368,0.47338402,0.2889734,0,0,18,0,0
60.0,100,131,3,0.05263158,0.47368422,0.0010034662,0.6315249,0.00099945068359375,192,0.040557668,0.5183777,0,3,0,3,0
60.0,126,83,12,0.4385965,0.21052632,0.29518375,0.101407535,0.10100173950195312,912,0.45901987,0.19264892,0,0,12,0,0
60.0,119,131,2,0.03508772,0.47368422,0.0020069324,0.6315249,0.0019989013671875,128,0.027038446,0.5183777,0,2,0,2,0
60.0,126,131,13,0.4385965,0.47368422,0.29518375,0.6315249,0.19300079345703125,1261,0.45901987,0.5183777,13,0,0,0,0
60.0,101,131,9,0.47368422,0.47368422,0.70180583,0.6315249,0.4329986572265625,873,0.47338402,0.5183777,9,0,0,0,0
61.0,126,131,16,0.33333334,0.9583333,0.2558135,0.90213025,0.26399993896484375,1552,0.33636758,0.9670568,16,0,0,0,0
61.0,101,131,20,0.41666666,0.9583333,0.40988344,0.90213025,0.4230003356933594,1940,0.42045948,0.9670568,20,0,0,0,0
61.0,99,131,10,0.20833333,0.9583333,0.23643327,0.90213025,0.24399948120117188,970,0.21022974,0.9670568,10,0,0,0,0
61.0,123,82,2,0.041666668,0.041666668,0.09786976,0.09786976,0.10100173950195312,152,0.032943215,0.032943215,0,0,2,0,0
62.0,99,131,12,0.41379312,0.41379312,0.38345706,0.38345706,0.3569984436035156,1164,0.47394136,0.47394136,12,0,0,0,0
62.0,123,82,16,0.55172414,0.55172414,0.6154694,0.6154694,0.5730018615722656,1216,0.495114,0.495114,0,0,16,0,0
62.0,48,83,1,0.03448276,0.03448276,0.0010735241,0.0010735241,0.00099945068359375,76,0.030944625,0.030944625,0,0,1,0,0
63.0,99,131,7,0.08974359,0.08974359,0.008129514,0.008129514,0.007999420166015625,679,0.11176955,0.11176955,7,0,0,0,0
63.0,48,83,26,0.33333334,0.33333334,0.44308758,0.44308758,0.43599700927734375,1976,0.3252675,0.3252675,0,0,26,0,0
63.0,123,82,20,0.25641027,0.25641027,0.4339385,0.4339385,0.42699432373046875,1520,0.25020576,0.25020576,0,0,20,0,0
63.0,53,103,25,0.32051283,0.32051283,0.114844404,0.114844404,0.113006591796875,1900,0.3127572,0.3127572,0,0,25,0,0
64.0,53,103,13,0.112068966,0.44827586,0.011632811,0.8845525,0.011993408203125,988,0.112068966,0.44827586,0,0,13,0,0
64.0,48,83,11,0.094827585,0.33620688,0.01067821,0.09022829,0.01100921630859375,836,0.094827585,0.33620688,0,0,11,0,0
64.0,126,83,28,0.2413793,0.33620688,0.07955008,0.09022829,0.0820159912109375,2128,0.2413793,0.33620688,0,0,28,0,0
64.0,90,103,28,0.2413793,0.44827586,0.86516446,0.8845525,0.8919830322265625,2128,0.2413793,0.44827586,0,0,28,0,0
64.0,76,87,25,0.21551724,0.21551724,0.025219224,0.025219224,0.0260009765625,1900,0.21551724,0.21551724,0,0,25,0,0
64.0,96,103,11,0.094827585,0.44827586,0.007755208,0.8845525,0.00799560546875,836,0.094827585,0.44827586,0,0,11,0,0
65.0,96,103,19,0.45762712,0.4915254,0.7803072,0.5497894,0.324005126953125,1444,0.4772141,0.47377473,0,0,19,0,0
65.0,76,87,12,0.20338982,0.20338982,0.010816613,0.010816613,0.0099945068359375,912,0.19604471,0.19604471,0,0,12,0,0
65.0,126,83,10,0.16949153,0.16949153,0.009743209,0.009743209,0.009002685546875,760,0.1633706,0.1633706,0,0,10,0,0
65.0,90,103,10,0.16949153,0.4915254,0.19913302,0.5497894,0.18399810791015625,760,0.1633706,0.47377473,0,0,10,0,0
65.0,96,131,8,0.45762712,0.13559322,0.7803072,0.42965072,0.39699554443359375,776,0.4772141,0.16680998,8,0,0,0,0
66.0,96,131,18,0.6666667,1.0,0.99058014,1.0,1.0510101318359375,1746,0.6666667,1.0,18,0,0,0,0
66.0,70,131,9,0.33333334,1.0,0.009419852,1.0,0.0099945068359375,873,0.33333334,1.0,9,0,0,0,0
67.0,70,131,20,0.24096386,0.27710843,0.21422079,0.21735387,0.20500946044921875,1940,0.28567222,0.32852304,20,0,0,0,0
67.0,96,131,3,0.036144577,0.27710843,0.0031330718,0.21735387,0.00299835205078125,291,0.042850833,0.32852304,3,0,0,0,0
67.0,45,83,34,0.40963855,0.40963855,0.61860234,0.61860234,0.5920028686523438,2584,0.3805036,0.3805036,0,0,34,0,0
67.0,123,82,1,0.012048192,0.012048192,0.0010443573,0.0010443573,0.00099945068359375,76,0.011191282,0.011191282,0,0,1,0,0
67.0,101,103,25,0.30120483,0.30120483,0.16299945,0.16299945,0.1559906005859375,1900,0.27978206,0.27978206,0,0,25,0,0
68.0,101,103,12,0.29268292,0.29268292,0.5663732,0.5663732,0.5120010375976562,912,0.28130785,0.28130785,0,0,12,0,0
68.0,45,83,4,0.5609756,0.09756097,0.4269848,0.0044223513,0.003997802734375,304,0.53917336,0.093769275,0,0,4,0,0
68.0,45,42,19,0.5609756,0.46341464,0.4269848,0.42256242,0.38199615478515625,1444,0.53917336,0.44540408,0,0,19,0,0
68.0,123,131,6,0.14634146,0.14634146,0.0066419668,0.0066419668,0.00600433349609375,582,0.17951882,0.17951882,6,0,0,0,0
69.0,45,42,15,0.16483517,0.16483517,0.19511601,0.19511601,0.2079925537109375,1140,0.14859228,0.14859228,0,0,15,0,0
69.0,123,131,23,0.25274727,0.3956044,0.10319062,0.2063884,0.1100006103515625,2231,0.2907977,0.45516163,23,0,0,0,0
69.0,103,41,24,0.26373628,0.26373628,0.49905527,0.49905527,0.5319900512695312,1824,0.23774765,0.23774765,0,0,24,0,0
69.0,67,131,13,0.14285715,0.3956044,0.103197776,0.2063884,0.11000823974609375,1261,0.16436392,0.45516163,13,0,0,0,0
69.0,92,95,16,0.17582418,0.17582418,0.099440314,0.099440314,0.1060028076171875,1216,0.15849844,0.15849844,0,0,16,0,0
70.0,92,95,22,0.28947368,0.4473684,0.27193028,0.43423012,0.2480010986328125,1672,0.28016084,0.43297586,0,0,22,0,0
70.0,67,131,16,0.21052632,0.36842105,0.10746373,0.41555822,0.0980072021484375,1552,0.2600536,0.38873994,16,0,0,0,0
70.0,103,41,14,0.18421052,0.18421052,0.15021165,0.15021165,0.136993408203125,1064,0.17828418,0.17828418,0,0,14,0,0
70.0,42,95,12,0.15789473,0.4473684,0.16229986,0.43423012,0.14801788330078125,912,0.15281501,0.43297586,0,0,12,0,0
70.0,81,131,12,0.15789473,0.36842105,0.3080945,0.41555822,0.28098297119140625,768,0.12868632,0.38873994,0,12,0,12,0
71.0,42,95,18,0.16981132,0.16981132,0.31040764,0.31040764,0.3159942626953125,1368,0.1766529,0.1766529,0,0,18,0,0
71.0,81,131,26,0.24528302,0.24528302,0.19451252,0.19451252,0.1980133056640625,1664,0.21487603,0.21487603,0,26,0,38,0
71.0,123,82,22,0.20754717,0.20754717,0.11984471,0.11984471,0.12200164794921875,1672,0.2159091,0.2159091,0,0,22,0,0
71.0,82,103,21,0.1981132,0.3773585,0.14931312,0.37523514,0.15200042724609375,1596,0.20609504,0.39256197,0,0,21,0,0
71.0,83,103,19,0.17924528,0.3773585,0.22592202,0.37523514,0.22998809814453125,1444,0.18646695,0.39256197,0,0,19,0,0
72.0,123,82,16,0.31666666,0.26666668,0.028198512,0.022074498,0.01801300048828125,1216,0.31666666,0.26666668,0,0,16,0,0
72.0,82,103,16,0.26666668,0.65,0.015931785,0.9693425,0.01300048828125,1216,0.26666668,0.65,0,0,16,0,0
72.0,83,103,19,0.31666666,0.65,0.7769363,0.9693425,0.6339874267578125,1444,0.31666666,0.65,0,0,19,0,0
72.0,101,103,1,0.016666668,0.65,0.0024496054,0.9693425,0.0019989013671875,76,0.016666668,0.65,0,0,1,0,0
72.0,103,41,1,0.016666668,0.016666668,0.0012341524,0.0012341524,0.001007080078125,76,0.016666668,0.016666668,0,0,1,0,0
72.0,45,83,1,0.016666668,0.016666668,0.0012248027,0.0012248027,0.00099945068359375,76,0.016666668,0.016666668,0,0,1,0,0
72.0,123,51,3,0.31666666,0.05,0.028198512,0.0061240136,0.00499725341796875,228,0.31666666,0.05,0,0,3,0,0
72.0,76,103,3,0.05,0.65,0.17402484,0.9693425,0.14200592041015625,228,0.05,0.65,0,0,3,0,0
73.0,123,51,35,0.3301887,0.3301887,0.24447942,0.24447942,0.243011474609375,2660,0.3488982,0.3488982,0,0,35,0,0
73.0,76,103,35,0.3301887,0.3301887,0.6177073,0.6177073,0.6139984130859375,2660,0.3488982,0.3488982,0,0,35,0,0
73.0,62,131,36,0.33962265,0.33962265,0.13781326,0.13781326,0.13698577880859375,2304,0.30220357,0.30220357,0,36,0,36,0
74.0,94,131,14,0.875,1.0,0.9979955,1.0,0.998992919921875,1358,0.9138627,1.0,14,0,0,0,0
74.0,62,131,2,0.125,1.0,0.0020045273,1.0,0.00200653076171875,128,0.08613728,1.0,0,2,0,38,0
